provider,attribute,original_value,parsed_value,collection_date,source_url,source_type,confidence,reason
Microsoft Azure,minimum_vm_price_usd_hour,,,2026-08-02,https://azure.microsoft.com/en-us/pricing/details/virtual-machines/linux/,official_pricing,unavailable,"Azure VM prices are dynamically calculated by region, currency, operating system, agreement, and VM size; no exact global minimum is published."
Microsoft Azure,storage_price_usd_gb_month,,,2026-08-02,https://azure.microsoft.com/en-us/pricing/details/storage/,official_pricing,unavailable,"Storage service, redundancy, access tier, and reference region were not specified; Azure publishes multiple rates."
Microsoft Azure,region_count,,,2026-08-02,https://azure.microsoft.com/en-us/explore/global-infrastructure/,official_region_documentation,unavailable,"Microsoft publishes '70+ Azure regions', which is not an exact machine-readable count."
Microsoft Azure,availability_zone_count,,,2026-08-02,https://learn.microsoft.com/en-us/azure/reliability/regions-list,official_region_documentation,unavailable,Microsoft publishes zone support by region but no authoritative global availability-zone total.
Microsoft Azure,gpu_support,GPU-accelerated Azure VM sizes,True,2026-08-02,https://learn.microsoft.com/en-us/azure/virtual-machines/sizes/gpu-accelerated/,official_feature_documentation,high,
Microsoft Azure,container_support,Azure Container Instances and Azure Container Apps,True,2026-08-02,https://azure.microsoft.com/en-us/products/category/containers/,official_feature_documentation,high,
Microsoft Azure,kubernetes_support,Azure Kubernetes Service,True,2026-08-02,https://azure.microsoft.com/en-us/products/kubernetes-service/,official_feature_documentation,high,
Microsoft Azure,auto_scaling,Azure Monitor autoscale,True,2026-08-02,https://learn.microsoft.com/en-us/azure/azure-monitor/autoscale/autoscale-overview,official_feature_documentation,high,
Microsoft Azure,load_balancer,Azure Load Balancer,True,2026-08-02,https://azure.microsoft.com/en-us/products/load-balancer/,official_feature_documentation,high,
Microsoft Azure,monitoring,Azure Monitor,True,2026-08-02,https://azure.microsoft.com/en-us/products/monitor/,official_feature_documentation,high,
Microsoft Azure,backup,Azure Backup,True,2026-08-02,https://azure.microsoft.com/en-us/products/backup/,official_feature_documentation,high,
Microsoft Azure,disaster_recovery,Azure Site Recovery,True,2026-08-02,https://azure.microsoft.com/en-us/products/site-recovery/,official_feature_documentation,high,
Microsoft Azure,support_tier,Enterprise support options,Enterprise,2026-08-02,https://azure.microsoft.com/en-us/support/plans/,official_support_documentation,high,
Microsoft Azure,support_24x7,24x7 technical support is available in qualifying paid plans,True,2026-08-02,https://azure.microsoft.com/en-us/support/plans/,official_support_documentation,high,
Microsoft Azure,security_certifications,ISO/IEC 27001; SOC 2,"[""ISO27001"",""SOC2""]",2026-08-02,https://learn.microsoft.com/en-us/azure/compliance/,official_compliance_documentation,high,
Microsoft Azure,compliance_certifications,HIPAA; PCI DSS; GDPR,"[""HIPAA"",""PCI DSS"",""GDPR""]",2026-08-02,https://learn.microsoft.com/en-us/azure/compliance/,official_compliance_documentation,high,
Microsoft Azure,free_tier,Azure free account and free services,True,2026-08-02,https://azure.microsoft.com/en-us/pricing/free-services/,official_documentation,high,
Microsoft Azure,hybrid_cloud,Azure Arc hybrid and multicloud management,True,2026-08-02,https://azure.microsoft.com/en-us/products/azure-arc/,official_feature_documentation,high,
Microsoft Azure,documentation_url,https://learn.microsoft.com/en-us/azure/,https://learn.microsoft.com/en-us/azure/,2026-08-02,https://learn.microsoft.com/en-us/azure/,official_documentation,high,
Microsoft Azure,collection_date,2026-08-02,2026-08-02,2026-08-02,,collection_metadata,high,
Microsoft Azure,source_url,https://learn.microsoft.com/en-us/azure/,https://learn.microsoft.com/en-us/azure/,2026-08-02,https://learn.microsoft.com/en-us/azure/,official_documentation,high,
Microsoft Azure,source_type,"Official Microsoft documentation, pricing, SLA, region, support, feature, and compliance pages",official_multi_source,2026-08-02,https://learn.microsoft.com/en-us/azure/,official_documentation,high,
Google Cloud Platform (GCP),provider_name,Google Cloud Platform (GCP),Google Cloud Platform (GCP),2026-08-02,,collection_metadata,high,
Google Cloud Platform (GCP),availability_sla_percent,Premium Tier instances in multiple zones: >=99.99% monthly uptime,99.99,2026-08-02,https://cloud.google.com/compute/sla,official_sla_documentation,high,
Google Cloud Platform (GCP),minimum_vm_price_usd_hour,,,2026-08-02,https://cloud.google.com/compute/vm-instance-pricing,official_pricing,unavailable,"Compute Engine pricing is SKU, configuration, operating-system, discount, and location dependent; the product page's rounded starting price is not an exact reproducible minimum."
Google Cloud Platform (GCP),storage_price_usd_gb_month,,,2026-08-02,https://cloud.google.com/storage/pricing,official_pricing,unavailable,"Cloud Storage class and reference location were not specified; official prices vary by class, location, operation, and retrieval."
Google Cloud Platform (GCP),region_count,43 Regions,43,2026-08-02,https://cloud.google.com/about/locations,official_region_documentation,high,
Google Cloud Platform (GCP),availability_zone_count,130 Zones,130,2026-08-02,https://cloud.google.com/about/locations,official_region_documentation,high,
Google Cloud Platform (GCP),gpu_support,Compute Engine GPU resources,True,2026-08-02,https://cloud.google.com/compute/docs/gpus,official_feature_documentation,high,
Google Cloud Platform (GCP),container_support,Cloud Run and container products,True,2026-08-02,https://cloud.google.com/products/containers,official_feature_documentation,high,
Google Cloud Platform (GCP),kubernetes_support,Google Kubernetes Engine,True,2026-08-02,https://cloud.google.com/kubernetes-engine,official_feature_documentation,high,
Google Cloud Platform (GCP),auto_scaling,Compute Engine managed instance group autoscaler,True,2026-08-02,https://cloud.google.com/compute/docs/autoscaler,official_feature_documentation,high,
Google Cloud Platform (GCP),load_balancer,Cloud Load Balancing,True,2026-08-02,https://cloud.google.com/load-balancing,official_feature_documentation,high,
Google Cloud Platform (GCP),monitoring,Cloud Monitoring,True,2026-08-02,https://cloud.google.com/monitoring,official_feature_documentation,high,
Google Cloud Platform (GCP),backup,Backup and DR Service,True,2026-08-02,https://cloud.google.com/backup-disaster-recovery,official_feature_documentation,high,
Google Cloud Platform (GCP),disaster_recovery,Disaster recovery planning guidance and Backup and DR,True,2026-08-02,https://cloud.google.com/architecture/dr-scenarios-planning-guide,official_feature_documentation,high,
Google Cloud Platform (GCP),support_tier,Premium Support,Premium,2026-08-02,https://cloud.google.com/support,official_support_documentation,high,
Google Cloud Platform (GCP),support_24x7,24/7 support is available with qualifying support services,True,2026-08-02,https://cloud.google.com/support,official_support_documentation,high,
Google Cloud Platform (GCP),security_certifications,ISO/IEC 27001; SOC 2,"[""ISO27001"",""SOC2""]",2026-08-02,https://cloud.google.com/security/compliance/offerings,official_compliance_documentation,high,
Google Cloud Platform (GCP),compliance_certifications,HIPAA; PCI DSS; GDPR,"[""HIPAA"",""PCI DSS"",""GDPR""]",2026-08-02,https://cloud.google.com/security/compliance/offerings,official_compliance_documentation,high,
Google Cloud Platform (GCP),free_tier,Google Cloud Free Program,True,2026-08-02,https://cloud.google.com/free,official_documentation,high,
Google Cloud Platform (GCP),hybrid_cloud,Google Distributed Cloud and Anthos hybrid capabilities,True,2026-08-02,https://cloud.google.com/distributed-cloud,official_feature_documentation,high,
Google Cloud Platform (GCP),documentation_url,https://cloud.google.com/docs,https://cloud.google.com/docs,2026-08-02,https://cloud.google.com/docs,official_documentation,high,
Google Cloud Platform (GCP),collection_date,2026-08-02,2026-08-02,2026-08-02,,collection_metadata,high,
Google Cloud Platform (GCP),source_url,https://cloud.google.com/docs,https://cloud.google.com/docs,2026-08-02,https://cloud.google.com/docs,official_documentation,high,
Google Cloud Platform (GCP),source_type,"Official Google documentation, pricing, SLA, region, support, feature, and compliance pages",official_multi_source,2026-08-02,https://cloud.google.com/docs,official_documentation,high,
Oracle Cloud Infrastructure (OCI),provider_name,Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI),2026-08-02,,collection_metadata,high,
Oracle Cloud Infrastructure (OCI),availability_sla_percent,Compute increased-availability data-plane SLA: 99.99%,99.99,2026-08-02,https://www.oracle.com/contracts/docs/corporate_paas_iaas_public_cloud_services_soc.pdf,official_sla_documentation,medium,
Oracle Cloud Infrastructure (OCI),minimum_vm_price_usd_hour,,,2026-08-02,https://www.oracle.com/cloud/compute/pricing/,official_pricing,unavailable,"OCI flexible VM price requires both OCPU and memory quantities, and the brief does not define a minimum valid VM configuration."
Oracle Cloud Infrastructure (OCI),storage_price_usd_gb_month,,,2026-08-02,https://www.oracle.com/cloud/storage/pricing/,official_pricing,unavailable,"OCI publishes separate object, archive, block, file, performance, and request rates; no storage class was specified."
Oracle Cloud Infrastructure (OCI),region_count,50 Commercial and Government Regions,50,2026-08-02,https://www.oracle.com/cloud/distributed-cloud/service-availability/,official_region_documentation,high,
Oracle Cloud Infrastructure (OCI),availability_zone_count,,,2026-08-02,https://docs.oracle.com/en-us/iaas/Content/General/Concepts/regions.htm,official_region_documentation,unavailable,OCI publishes Availability Domains per region but no authoritative global Availability Domain total.
Oracle Cloud Infrastructure (OCI),gpu_support,OCI GPU compute,True,2026-08-02,https://www.oracle.com/cloud/compute/gpu/,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),container_support,OCI Container Instances,True,2026-08-02,https://www.oracle.com/cloud/cloud-native/container-instances/,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),kubernetes_support,Oracle Container Engine for Kubernetes,True,2026-08-02,https://www.oracle.com/cloud/cloud-native/container-engine-kubernetes/,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),auto_scaling,OCI Compute autoscaling,True,2026-08-02,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/autoscalinginstancepools.htm,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),load_balancer,OCI Load Balancer,True,2026-08-02,https://www.oracle.com/cloud/networking/load-balancing/,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),monitoring,OCI Monitoring,True,2026-08-02,https://docs.oracle.com/en-us/iaas/Content/Monitoring/home.htm,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),backup,OCI Block Volume backups,True,2026-08-02,https://docs.oracle.com/en-us/iaas/Content/Block/Concepts/blockvolumebackups.htm,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),disaster_recovery,OCI Full Stack Disaster Recovery,True,2026-08-02,https://www.oracle.com/cloud/full-stack-disaster-recovery/,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),support_tier,Oracle Premier Support,Premier,2026-08-02,https://www.oracle.com/support/premier/,official_support_documentation,high,
Oracle Cloud Infrastructure (OCI),support_24x7,24/7 service-request support under Oracle Premier Support,True,2026-08-02,https://www.oracle.com/support/premier/,official_support_documentation,high,
Oracle Cloud Infrastructure (OCI),security_certifications,ISO/IEC 27001; SOC 2,"[""ISO27001"",""SOC2""]",2026-08-02,https://www.oracle.com/corporate/cloud-compliance/,official_compliance_documentation,high,
Oracle Cloud Infrastructure (OCI),compliance_certifications,HIPAA; PCI DSS; GDPR,"[""HIPAA"",""PCI DSS"",""GDPR""]",2026-08-02,https://www.oracle.com/corporate/cloud-compliance/,official_compliance_documentation,high,
Oracle Cloud Infrastructure (OCI),free_tier,OCI Free Tier,True,2026-08-02,https://www.oracle.com/cloud/free/,official_documentation,high,
Oracle Cloud Infrastructure (OCI),hybrid_cloud,OCI Dedicated Region and Cloud@Customer hybrid deployment options,True,2026-08-02,https://www.oracle.com/cloud/cloud-at-customer/,official_feature_documentation,high,
Oracle Cloud Infrastructure (OCI),documentation_url,https://docs.oracle.com/en-us/iaas/Content/home.htm,https://docs.oracle.com/en-us/iaas/Content/home.htm,2026-08-02,https://docs.oracle.com/en-us/iaas/Content/home.htm,official_documentation,high,
Oracle Cloud Infrastructure (OCI),collection_date,2026-08-02,2026-08-02,2026-08-02,,collection_metadata,high,
Oracle Cloud Infrastructure (OCI),source_url,https://docs.oracle.com/en-us/iaas/Content/home.htm,https://docs.oracle.com/en-us/iaas/Content/home.htm,2026-08-02,https://docs.oracle.com/en-us/iaas/Content/home.htm,official_documentation,high,
Oracle Cloud Infrastructure (OCI),source_type,"Official Oracle documentation, pricing, SLA, region, support, feature, and compliance pages",official_multi_source,2026-08-02,https://docs.oracle.com/en-us/iaas/Content/home.htm,official_documentation,high,
IBM Cloud,provider_name,IBM Cloud,IBM Cloud,2026-08-02,,collection_metadata,high,
IBM Cloud,availability_sla_percent,IBM regional services distributed across three zones generally provide 99.99% tier-3 availability,99.99,2026-08-02,https://cloud.ibm.com/docs/overview?topic=overview-locations,official_sla_documentation,high,
IBM Cloud,minimum_vm_price_usd_hour,,,2026-08-02,https://www.ibm.com/products/virtual-servers/pricing,official_pricing,unavailable,"IBM VPC virtual-server pricing is profile, operating-system, location, and configuration dependent and no exact global minimum is published."
IBM Cloud,storage_price_usd_gb_month,,,2026-08-02,https://www.ibm.com/products/cloud-object-storage/pricing,official_pricing,unavailable,"IBM Cloud storage pricing varies by service, class, location, capacity, and usage; no storage class was specified."
IBM Cloud,region_count,"MZR table lists Dallas, Sao Paulo, Toronto, Washington DC, Frankfurt, London, Madrid, Sydney, Tokyo, Chennai, Montreal, Mumbai, and Osaka",13,2026-08-02,https://cloud.ibm.com/docs/overview?topic=overview-locations,official_region_documentation,medium,
IBM Cloud,availability_zone_count,The official region table lists 40 universal zones across the 13 MZR and single-campus MZR entries,40,2026-08-02,https://cloud.ibm.com/docs/overview?topic=overview-locations,official_region_documentation,medium,
IBM Cloud,gpu_support,GPU instance profiles for IBM Cloud VPC,True,2026-08-02,https://cloud.ibm.com/docs/vpc?topic=vpc-profiles,official_feature_documentation,high,
IBM Cloud,container_support,IBM Cloud Code Engine,True,2026-08-02,https://www.ibm.com/products/code-engine,official_feature_documentation,high,
IBM Cloud,kubernetes_support,IBM Cloud Kubernetes Service,True,2026-08-02,https://www.ibm.com/products/kubernetes-service,official_feature_documentation,high,
IBM Cloud,auto_scaling,VPC instance-group autoscaling,True,2026-08-02,https://cloud.ibm.com/docs/vpc?topic=vpc-creating-auto-scale-instance-group,official_feature_documentation,high,
IBM Cloud,load_balancer,IBM Cloud Load Balancer for VPC,True,2026-08-02,https://cloud.ibm.com/docs/vpc?topic=vpc-nlb-vs-elb,official_feature_documentation,high,
IBM Cloud,monitoring,IBM Cloud Monitoring,True,2026-08-02,https://cloud.ibm.com/docs/monitoring,official_feature_documentation,high,
IBM Cloud,backup,IBM Cloud Backup for VPC,True,2026-08-02,https://cloud.ibm.com/docs/vpc?topic=vpc-backup-service-about,official_feature_documentation,high,
IBM Cloud,disaster_recovery,IBM Cloud disaster-recovery architecture guidance,True,2026-08-02,https://www.ibm.com/architectures/hybrid/dr,official_feature_documentation,high,
IBM Cloud,support_tier,Premium support plan,Premium,2026-08-02,https://www.ibm.com/cloud/support,official_support_documentation,high,
IBM Cloud,support_24x7,24x7 support is available in qualifying IBM Cloud support plans,True,2026-08-02,https://www.ibm.com/cloud/support,official_support_documentation,high,
IBM Cloud,security_certifications,ISO/IEC 27001; SOC 2,"[""ISO27001"",""SOC2""]",2026-08-02,https://www.ibm.com/cloud/compliance,official_compliance_documentation,high,
IBM Cloud,compliance_certifications,HIPAA; PCI DSS; GDPR,"[""HIPAA"",""PCI DSS"",""GDPR""]",2026-08-02,https://www.ibm.com/cloud/compliance,official_compliance_documentation,high,
IBM Cloud,free_tier,IBM Cloud free account and Lite plans,True,2026-08-02,https://www.ibm.com/cloud/free,official_documentation,high,
IBM Cloud,hybrid_cloud,IBM Cloud hybrid and multicloud platform capabilities,True,2026-08-02,https://cloud.ibm.com/docs/overview?topic=overview-whatis-platform,official_feature_documentation,high,
IBM Cloud,documentation_url,https://cloud.ibm.com/docs,https://cloud.ibm.com/docs,2026-08-02,https://cloud.ibm.com/docs,official_documentation,high,
IBM Cloud,collection_date,2026-08-02,2026-08-02,2026-08-02,,collection_metadata,high,
IBM Cloud,source_url,https://cloud.ibm.com/docs,https://cloud.ibm.com/docs,2026-08-02,https://cloud.ibm.com/docs,official_documentation,high,
IBM Cloud,source_type,"Official IBM documentation, pricing, SLA, region, support, feature, and compliance pages",official_multi_source,2026-08-02,https://cloud.ibm.com/docs,official_documentation,high,
